Keyword;Position;Previous position;Search Volume;Keyword Difficulty;CPC;URL;Traffic;Traffic (%);Traffic Cost;Competition;Number of Results;Trends;Timestamp;SERP Features by Keyword;Keyword Intents;Position Type
earrings with sapphire;58;58;70;11;0.64;https://rezagemcollection.ca/products/sapphire-earrings;0;0;0.00;1;25000000;[19,0,100,0,0,0,0,1,0,0,0,0];2025-09-01;Image pack, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
ruby ring canada;37;37;210;7;0.63;https://rezagemcollection.ca/collections/ruby-ring;0;0;0.00;1;18700000;[44,28,35,28,28,44,35,35,28,23,28,23];2025-08-22;Image pack, Sitelinks, Video, Image, Popular products, Related searches;informational, transactional;Organic
cultured pearls versus freshwater pearls;56;56;50;30;0.25;https://rezagemcollection.ca/collections/freshwater-pearls;0;0;0.00;0.29;5150000;[9,9,9,9,52,52,52,9,9,33,33,42];2025-09-10;Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, Ads middle, AI overview;commercial;Organic
jewelers gems;16;16;50;36;0.67;https://rezagemcollection.ca/;0;0;0.00;0.97;52100000;[18,18,63,63,63,81,81,63,81,18,0,0];2025-11-26;Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches;informational, transactional;Organic
b e a d s meaning;77;77;260;43;0.00;https://rezagemcollection.ca/blogs/bead-journal/a-timeless-treasure-the-history-of-beads;0;0;0.00;0;271000000;[100,81,81,100,100,100,100,0,0,0,0,0];2025-08-29;Video, People also ask, Related searches, AI overview;commercial, informational;Organic
kyanite properties healing;46;46;50;5;0.12;https://rezagemcollection.ca/blogs/news/blue-kyanite-and-green-kyanite-types-properties-and-uses;0;0;0.00;0.12;10;[23,23,17,17,17,12,17,17,17,5,17,0];2025-11-12;Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
blue kyanite meaning;33;33;70;14;0.00;https://rezagemcollection.ca/blogs/news/blue-kyanite-and-green-kyanite-types-properties-and-uses;0;0;0.00;0.03;807000;[33,23,23,19,33,9,52,42,42,42,42,42];2025-09-03;Video, Image, People also ask, Related searches, AI overview;informational;Organic
what is the color of the august birthstone;28;28;90;16;0.15;https://rezagemcollection.ca/collections/august-birthstone;0;0;0.00;0.57;10;[28,50,50,64,64,64,78,64,64,78,78,100];2025-11-17;Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
what is the color of the august birthstone;30;30;90;16;0.15;https://rezagemcollection.ca/collections/august-birthstone;0;0;0.00;0.57;10;[28,50,50,64,64,64,78,64,64,78,78,100];2025-11-17;Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
pink tourmaline meaning;38;38;170;14;0.00;https://rezagemcollection.ca/blogs/news/pink-tourmaline-meaning-healing-properties-and-more;0;0;0.00;0.01;2690000;[29,35,29,29,29,43,35,29,43,35,29,29];2025-08-22;Image pack, Video, People also ask, Related searches, AI overview;informational;Organic
what is tanzanite;89;89;70;36;0.00;https://rezagemcollection.ca/blogs/news/tanzanite-gemstone-meaning-and-jewelry-use-price;0;0;0.00;0.09;8200000;[6,9,6,9,6,9,9,9,9,2,12,12];2025-09-01;Knowledge panel, Sitelinks, Video, Related searches, AI overview;informational;Organic
birthstones october;87;87;140;23;0.18;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.43;2090000;[10,15,36,12,5,23,12,10,15,19,15,12];2025-09-12;Sitelinks, Video, Image, People also ask, Related searches, AI overview;informational;Organic
birthstone of october;22;22;110;14;0.21;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.47;5320000;[11,23,11,15,15,11,11,11,15,15,18,44];2025-11-12;Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
natural stone beads;17;17;50;17;0.78;https://rezagemcollection.ca/pages/gemstone-beads-category-by-name;0;0;0.00;1;30400000;[64,50,50,50,50,50,50,21,21,14,50,28];2025-08-19;Local pack, Image pack, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
fresh pearl;36;36;90;9;1.10;https://rezagemcollection.ca/collections/freshwater-pearls;0;0;0.00;1;228000000;[10,10,10,10,7,43,35,10,7,12,17,100];2025-08-22;Video, Image, Popular products, Related searches;commercial, informational;Organic
topaz gemstones;84;84;210;24;0.58;https://rezagemcollection.ca/products/topaz-faceted-stone;0;0;0.00;0.62;15900000;[0,0,0,0,100,2,2,0,1,0,2,30];2025-08-24;Sitelinks, Video, Image, Related searches, AI overview;informational;Organic
gem wholesale canada;13;13;90;28;0.73;https://rezagemcollection.ca/products/gemstone-and-jewellery-wholesale-shopping-canada;0;0;0.00;1;6390000;[78,100,64,50,64,64,78,64,78,64,64,64];2025-09-06;Local pack, Sitelinks, Related searches;commercial;Organic
gem wholesale canada;37;37;90;28;0.73;https://rezagemcollection.ca/;0;0;0.00;1;6390000;[78,100,64,50,64,64,78,64,78,64,64,64];2025-09-06;Local pack, Sitelinks, Related searches;commercial;Organic
sunstone;1;1;2900;23;5.94;https://rezagemcollection.ca/blogs/news/sunstone-crystal-healing-properties-benefits-and-meaning;0;0;0.00;0.24;9;[44,35,35,53,53,44,66,44,53,66,53,53];2025-11-09;Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview;informational, transactional;People also ask
sunstone;1;1;2900;23;5.94;https://rezagemcollection.ca/blogs/news/sunstone-crystal-healing-properties-benefits-and-meaning;0;0;0.00;0.24;9;[44,35,35,53,53,44,66,44,53,66,53,53];2025-11-09;Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview;informational, transactional;People also ask
bead store canada;36;36;110;36;0.30;https://rezagemcollection.ca/;0;0;0.00;1;10;[53,53,42,34,42,34,11,34,42,42,42,53];2025-11-12;Local pack, Image pack, Sitelinks, Video, Image, People also ask, Related searches;commercial;Organic
burmese jade;17;17;140;13;0.41;https://rezagemcollection.ca/collections/burmese-jade;0;0;0.00;0.9;3450000;[53,26,53,53,65,53,53,42,53,53,65,26];2025-08-24;Image pack, Video, Image, People also ask, Related searches;informational;Organic
sterling silver chains;55;55;170;12;0.35;https://rezagemcollection.ca/collections/sterling-silver-chains;0;0;0.00;1;66500000;[23,12,29,23,19,4,7,19,36,10,19,29];2025-11-09;Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches;transactional;Organic
beads of carnelian;8;8;90;5;0.39;https://rezagemcollection.ca/collections/carnelian-gemstone-beads;0;0;0.00;1;10;[28,100,8,3,1,6,1,8,1,18,1,3];2025-11-15;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;informational, transactional;Organic
beads of carnelian;11;11;90;5;0.39;https://rezagemcollection.ca/collections/carnelian-gemstone-beads;0;0;0.00;1;10;[28,100,8,3,1,6,1,8,1,18,1,3];2025-11-15;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;informational, transactional;Organic
beads of carnelian;27;27;90;5;0.39;https://rezagemcollection.ca/products/carnelian-polished-round-beads;0;0;0.00;1;10;[28,100,8,3,1,6,1,8,1,18,1,3];2025-11-15;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;informational, transactional;Organic
yooperlites rocks;38;38;50;25;0.33;https://rezagemcollection.ca/blogs/news/yooperlite-the-glow-in-the-dark-wonder-rock-and-its-unique-uses;0;0;0.00;0.56;10;[0,0,0,0,12,2,100,0,12,23,2,5];2025-11-12;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
yooperlites rocks;56;56;50;25;0.33;https://rezagemcollection.ca/blogs/news/yooperlite-the-glow-in-the-dark-wonder-rock-and-its-unique-uses;0;0;0.00;0.56;10;[0,0,0,0,12,2,100,0,12,23,2,5];2025-11-12;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
yooperlites rocks;57;57;50;25;0.33;https://rezagemcollection.ca/blogs/news/yooperlite-the-glow-in-the-dark-wonder-rock-and-its-unique-uses;0;0;0.00;0.56;10;[0,0,0,0,12,2,100,0,12,23,2,5];2025-11-12;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
birthstones august;23;23;50;17;0.26;https://rezagemcollection.ca/collections/august-birthstone;0;0;0.00;1;4580000;[5,3,5,15,11,5,5,6,18,8,8,11];2025-11-12;Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
cultured pearls;27;27;170;33;0.21;https://rezagemcollection.ca/collections/freshwater-pearls;0;0;0.00;1;6850000;[43,35,53,35,43,53,53,35,28,43,43,35];2025-09-08;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
yooperlite rocks;31;31;1300;30;0.33;https://rezagemcollection.ca/blogs/news/yooperlite-the-glow-in-the-dark-wonder-rock-and-its-unique-uses;0;0;0.00;0.54;277000;[13,8,5,5,8,5,5,18,10,66,100,29];2025-09-25;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
green stone;44;44;720;32;0.52;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;0;0;0.00;0.53;2730000000;[4,44,24,24,24,24,30,30,24,24,24,30];2025-10-05;Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial, informational;Organic
tanzanite necklace;42;42;140;10;0.74;https://rezagemcollection.ca/collections/tanzanite-gemstone-beads;0;0;0.00;1;0;[43,34,53,100,43,43,34,28,43,34,43,34];2025-11-18;Image pack, Sitelinks, Video, Image, Ads bottom, Popular products, Related searches;informational, transactional;Organic
amethyst what color;61;61;140;28;0.00;https://rezagemcollection.ca/blogs/news/amethyst-rock;0;0;0.00;0;29400000;[10,10,100,17,28,35,35,28,35,35,35,35];2025-09-02;Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview;informational;Organic
russian stone toronto;55;55;70;13;0.00;https://rezagemcollection.ca/;0;0;0.00;0.03;7830000;[63,63,63,63,63,45,63,63,63,36,81,63];2025-09-12;Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches;informational;Organic
moonstone jewelry canada;19;19;70;14;0.68;https://rezagemcollection.ca/collections/moonstone;0;0;0.00;1;1860000;[23,33,23,33,42,52,23,33,23,23,52,52];2025-08-29;Knowledge panel, Image pack, Sitelinks, Video, Related searches;informational;Organic
jade gem;11;0;260;38;2.06;https://rezagemcollection.ca/collections/jade-gemstone-beads;0;0;0.00;0.36;39800000;[65,81,65,65,65,65,100,81,43,100,81,81];2025-11-27;Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
apatite chemical formula;1;1;70;16;0.00;https://rezagemcollection.ca/blogs/news/apatite-meaning-healing-properties-colors-shapes-and-jewelry-uses;0;0;0.00;0;10;[64,100,64,11,11,100,11,11,11,11,11,11];2025-11-06;Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview;commercial, informational;People also ask
beads and gemstones;15;15;210;13;0.71;https://rezagemcollection.ca/pages/gemstone-beads-category-by-name;0;0;0.00;1;34600000;[81,65,65,43,53,65,65,81,81,65,53,53];2025-08-30;Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;commercial;Organic
beads and gemstones;80;80;210;13;0.71;https://rezagemcollection.ca/collections/beads;0;0;0.00;1;34600000;[81,65,65,43,53,65,65,81,81,65,53,53];2025-08-30;Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;commercial;Organic
yooperlite stone;22;22;110;25;0.44;https://rezagemcollection.ca/collections/yooperlite;0;0;0.00;0.9;399000;[64,64,64,64,23,52,41,41,64,41,64,100];2025-08-28;Image pack, Sitelinks, Video, People also ask, Related searches, AI overview;informational;Organic
yooperlite stone;38;38;110;25;0.44;https://rezagemcollection.ca/blogs/news/yooperlite-the-glow-in-the-dark-wonder-rock-and-its-unique-uses;0;0;0.00;0.9;399000;[64,64,64,64,23,52,41,41,64,41,64,100];2025-08-28;Image pack, Sitelinks, Video, People also ask, Related searches, AI overview;informational;Organic
ruby ring jewelry;23;23;1300;17;0.66;https://rezagemcollection.ca/collections/ruby-ring;0;0;0.00;1;23300000;[24,30,34,24,65,65,65,82,65,65,7,3];2025-10-05;Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums;commercial;Organic
beads toronto;16;16;170;45;0.64;https://rezagemcollection.ca/;0;0;0.00;0.63;11600000;[65,80,53,65,65,53,53,53,42,53,65,53];2025-09-02;Local pack, Image pack, Sitelinks, Video, Image, Popular products, Related searches;commercial;Organic
dark blue gem;7;7;140;12;0.00;https://rezagemcollection.ca/collections/blue-gemstones;0;0;0.00;0.59;10;[42,42,42,65,53,34,53,53,53,42,53,65];2025-11-17;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;commercial, informational;Organic
october birthstones;72;72;260;30;0.30;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.37;6300000;[11,21,21,59,21,88,14,26,17,39,17,17];2025-09-05;Image pack, Sitelinks, Video, Related searches, AI overview;informational;Organic
sunstone gem meaning;21;21;140;25;0.00;https://rezagemcollection.ca/blogs/news/sunstone-crystal-healing-properties-benefits-and-meaning;0;0;0.00;0.01;179000;[65,65,65,53,65,0,0,53,65,80,53,65];2025-08-26;Image pack, Video, Related searches, AI overview;informational;Organic
blue kyanite stone meaning;26;26;70;12;0.00;https://rezagemcollection.ca/blogs/news/blue-kyanite-and-green-kyanite-types-properties-and-uses;0;0;0.00;0.03;669000;[63,45,45,36,63,18,100,81,63,63,81,81];2025-09-02;Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview;informational;Organic
moss agate;83;83;3600;16;0.57;https://rezagemcollection.ca/blogs/news/moss-agate-gemstone-beads;0;0;0.00;0.98;10;[66,66,81,81,66,53,66,66,53,53,66,81];2025-11-06;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview;commercial;Organic
bead stores toronto ontario;40;40;720;41;0.42;https://rezagemcollection.ca/;0;0;0.00;0.77;4180000;[88,59,59,88,59,72,26,100,59,48,88,100];2025-10-06;Local pack, Sitelinks, Video, Image, Related searches;commercial;Organic
what is moss agate;94;94;70;34;1.52;https://rezagemcollection.ca/blogs/news/moss-agate-gemstone-beads;0;0;0.00;0.38;3470000;[35,78,78,28,78,50,50,35,28,78,50,14];2025-08-26;Knowledge panel, Sitelinks, Video, Related searches, AI overview;informational;Organic
birth stone for the month of october;59;59;1600;38;0.00;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.37;51600000;[5,5,3,3,15,24,13,43,100,36,28,0];2025-10-06;Image pack, Sitelinks, Video, People also ask, Popular products, Related searches;;Organic
gemstone stores toronto;13;13;50;43;0.00;https://rezagemcollection.ca/;0;0;0.00;0.47;3660000;[28,50,28,28,21,7,28,28,35,35,50,64];2025-09-04;Local pack, Image pack, Sitelinks, Video, Image, Related searches;commercial;Organic
lace agate;37;37;140;21;0.00;https://rezagemcollection.ca/blogs/news/crazy-lace-agate-gemstone-beads;0;0;0.00;0.24;2400000;[35,35,43,43,35,23,43,28,35,28,35,35];2025-11-19;Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches;commercial;Organic
oct birthstone;54;54;590;35;0.24;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.42;10800000;[30,36,10,7,36,41,16,4,20,7,20,66];2025-10-05;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
names of green jewels;43;43;320;28;0.00;https://rezagemcollection.ca/collections/green-semi-precious-stones?page=5;0;0;0.00;0.14;51900000;[81,81,81,81,81,100,100,0,0,81,0,54];2025-09-03;Video, Image, People also ask, Related searches, AI overview;informational;Organic
bead shop canada;56;56;70;50;0.54;https://rezagemcollection.ca/;0;0;0.00;1;21400000;[29,41,64,64,64,29,41,41,52,64,64,11];2025-08-28;Local pack, Image pack, Sitelinks, Image, Popular products, Related searches;commercial;Organic
meaning of blue kyanite;26;26;70;19;0.00;https://rezagemcollection.ca/blogs/news/blue-kyanite-and-green-kyanite-types-properties-and-uses;0;0;0.00;0.03;1080000;[33,23,23,19,33,9,52,42,42,33,42,42];2025-09-06;Featured snippet, People also ask, Related searches;informational;Organic
what is the birthstone october;20;20;390;15;0.12;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.25;10;[54,100,44,44,36,29,44,36,36,36,54,100];2025-11-18;Image pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview;informational;Organic
freshwater cultured pearl;9;9;70;20;1.10;https://rezagemcollection.ca/collections/freshwater-pearls;0;0;0.00;1;2890000;[6,6,6,6,6,6,6,21,28,43,100,28];2025-09-08;Image pack, Video, Image, People also ask, Related searches;informational;Organic
freshwater pearl necklace canada;36;36;50;16;0.99;https://rezagemcollection.ca/collections/freshwater-pearls;0;0;0.00;1;98;[36,45,45,45,45,63,45,36,36,45,63,63];2025-08-19;Image pack, Video, Image, People also ask, Popular products, Related searches;transactional;Organic
gemstones in canada;63;0;70;37;0.45;https://rezagemcollection.ca/products/gemstone-and-jewellery-wholesale-shopping-canada;0;0;0.00;1;164000000;[5,5,5,17,100,7,35,5,12,7,12,12];2025-11-27;Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;commercial;Organic
apatite gemstone meaning;58;58;70;14;0.00;https://rezagemcollection.ca/blogs/news/apatite-meaning-healing-properties-colors-shapes-and-jewelry-uses;0;0;0.00;0.09;827000;[34,26,19,26,19,26,26,26,34,19,26,26];2025-09-03;Video, Related searches, AI overview;informational;Organic
unikite;58;58;110;11;0.00;https://rezagemcollection.ca/blogs/news/unakite-meaning-properties-and-uses-unakite;0;0;0.00;0.2;1360000;[0,28,15,15,43,65,53,34,21,43,34,21];2025-08-27;Knowledge panel, Sitelinks, Video, Related searches, AI overview;informational;Organic
tanzanite meaning;26;26;140;31;0.12;https://rezagemcollection.ca/blogs/news/tanzanite-gemstone-meaning-and-jewelry-use-price;0;0;0.00;0.11;3870000;[28,28,28,43,28,28,35,35,43,53,43,35];2025-10-15;Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches;informational;Organic
light green semi precious stone;16;16;110;16;0.00;https://rezagemcollection.ca/collections/green-semi-precious-stones;0;0;0.00;0.74;17400000;[100,100,78,78,78,100,100,78,100,78,100,78];2025-08-31;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums;informational;Organic
kinds of beads;12;12;140;27;0.23;https://rezagemcollection.ca/blogs/news/the-different-finishes-and-styles-of-beads-you-need-to-know;0;0;0.00;0.34;39300000;[66,66,52,66,66,66,80,80,42,80,80,80];2025-08-28;Image pack, Video, Image, People also ask, Related searches, AI overview;commercial, informational;Organic
what are freshwater pearls;41;41;90;24;0.34;https://rezagemcollection.ca/blogs/news/freshwater-pearl-beads;0;0;0.00;0.48;5710000;[3,3,2,3,4,5,2,2,2,2,3,2];2025-09-07;Knowledge panel, Sitelinks, Video, Popular products, Related searches, AI overview;informational;Organic
jewelry making products;68;68;480;44;0.65;https://rezagemcollection.ca/blogs/news/jewelry-making-supplies-checklist-everything-you-need-to-get-started;0;0;0.00;1;150000000;[81,81,66,66,81,81,66,44,66,81,66,44];2025-09-03;Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview;commercial;Organic
stone beads;33;33;140;13;0.68;https://rezagemcollection.ca/pages/gemstone-beads-category-by-name;0;0;0.00;1;69100000;[65,100,53,42,42,42,42,34,42,34,53,42];2025-09-03;Image pack, Video, Image, Popular products, Related searches;commercial;Organic
stone beads;62;62;140;13;0.68;https://rezagemcollection.ca/collections/beads;0;0;0.00;1;69100000;[65,100,53,42,42,42,42,34,42,34,53,42];2025-09-03;Image pack, Video, Image, Popular products, Related searches;commercial;Organic
lapis beads;19;19;70;10;0.46;https://rezagemcollection.ca/collections/lapis-lazuli-gemstone-beads;0;0;0.00;1;5310000;[77,77,77,77,77,100,77,77,77,77,22,22];2025-08-31;Image pack, Video, Image, People also ask, Popular products, Related searches;informational, transactional;Organic
stone for the month of october;73;0;260;35;0.08;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.24;164000000;[66,100,54,81,43,43,54,43,54,43,29,43];2025-11-27;Image pack, Sitelinks, Video, Featured snippet, Image, Ads bottom, Video Carousel, People also ask, Related searches;informational;Organic
birthstones for august;50;50;70;9;0.15;https://rezagemcollection.ca/collections/august-birthstone;0;0;0.00;1;10;[7,7,4,4,0,3,7,23,7,5,10,15];2025-11-09;Image pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, AI overview;commercial, informational;Organic
october burthdtone;60;60;110;27;0.30;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.37;4910000;[0,0,0,0,0,0,0,0,0,100,0,0];2025-09-03;Image pack, Sitelinks, Video, Image, Related searches, AI overview;informational;Organic
blue gems;22;22;1000;35;0.50;https://rezagemcollection.ca/collections/blue-gemstones;0;0;0.00;0.39;410000000;[84,84,25,68,46,52,25,31,25,68,68,68];2025-10-02;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches;commercial, informational;Organic
turquoise necklace canada;44;44;50;11;0.33;https://rezagemcollection.ca/collections/turquoise-jewelry;0;0;0.00;1;6840000;[45,45,63,36,36,36,27,27,100,45,63,45];2025-11-27;Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
zoisite with ruby;1;1;210;20;0.95;https://rezagemcollection.ca/blogs/news/ruby-zoisite-meaning;0;0;0.00;0.44;1080000;[35,0,54,81,81,0,0,100,81,0,0,0];2025-10-20;Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational;People also ask
zoisite with ruby;9;9;210;20;0.95;https://rezagemcollection.ca/blogs/news/ruby-zoisite-meaning;0;0;0.00;0.44;1080000;[35,0,54,81,81,0,0,100,81,0,0,0];2025-10-20;Video, Image, Video Carousel, People also ask, Related searches, AI overview;informational;Organic
bead store scarborough;15;15;70;18;0.00;https://rezagemcollection.ca/;0;0;0.00;0.59;95;[33,33,33,33,52,9,52,33,23,33,33,42];2025-09-08;Local pack, Image pack, Sitelinks, Video, Image, Related searches;commercial;Organic
water pearls;60;60;90;14;0.60;https://rezagemcollection.ca/collections/freshwater-pearls;0;0;0.00;0.73;140000000;[26,26,34,26,26,26,34,53,53,34,19,26];2025-11-08;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;informational, transactional;Organic
17th october birthstone;81;81;90;32;0.10;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0.17;1630000;[5,2,2,100,2,9,2,2,2,2,0,0];2025-09-07;Image pack, Video, Related searches, AI overview;informational;Organic
ruby rings canada;28;27;110;9;0.57;https://rezagemcollection.ca/collections/ruby-ring;0;0;0.00;1;9600000;[23,17,28,28,43,28,17,23,23,23,23,28];2025-11-27;Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
a white gem;34;34;140;22;0.35;https://rezagemcollection.ca/collections/howlite-gemstone-beads;0;0;0.00;0.13;502000000;[82,82,0,0,12,35,43,100,66,0,2,0];2025-11-05;Sitelinks, Video, Featured snippet, Image, People also ask, Related searches;informational;Organic
august birthstone;80;80;12100;43;0.24;https://rezagemcollection.ca/collections/august-birthstone;0;0;0.00;1;5310000;[54,44,54,81,54,54,54,54,54,66,81,100];2025-11-04;Image pack, Sitelinks, Video, Image, Ads bottom, Shopping ads, People also ask, Related searches, AI overview;informational;Organic
what is shungite;43;43;70;23;0.12;https://rezagemcollection.ca/blogs/news/shungite-beads-for-jewelry-making;0;0;0.00;0.18;993000;[9,7,7,7,7,7,7,5,7,7,7,11];2025-09-06;Knowledge panel, Related searches, AI overview;informational;Organic
october birthstone sign;81;81;2400;27;2.00;https://rezagemcollection.ca/blogs/birthstone/october-birthstone;0;0;0.00;0;7590000;[43,36,100,28,28,36,43,19,43,28,19,0];2025-10-03;Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview;informational;Organic
persian turquoise;13;13;110;7;0.30;https://rezagemcollection.ca/products/persian-turquoise-ring;0;0;0.00;0.89;9020000;[64,64,78,100,64,50,50,78,78,78,64,78];2025-09-12;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;informational, transactional;Organic
persian turquoise;17;17;110;7;0.30;https://rezagemcollection.ca/products/persian-turquoise-pendant;0;0;0.00;0.89;9020000;[64,64,78,100,64,50,50,78,78,78,64,78];2025-09-12;Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;informational, transactional;Organic
blue agate;29;29;480;18;0.20;https://rezagemcollection.ca/collections/blue-lace-agate;0;0;0.00;0.38;0;[30,20,20,24,24,20,20,20,7,24,20,24];2025-11-18;Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches;informational, transactional;Organic
seawater pearls;1;1;50;25;0.37;https://rezagemcollection.ca/blogs/news/freshwater-pearl-beads;0;0;0.00;0.99;969000;[15,15,26,26,19,19,26,19,19,34,26,19];2025-10-18;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches;commercial;People also ask
seawater pearls;53;53;50;25;0.37;https://rezagemcollection.ca/collections/freshwater-pearls;0;0;0.00;0.99;969000;[15,15,26,26,19,19,26,19,19,34,26,19];2025-10-18;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches;commercial;Organic
jan gem;17;17;260;32;0.29;https://rezagemcollection.ca/blogs/news/january-birthstone-garnet-and-its-alternatives;0;0;0.00;0.32;10;[35,35,54,81,100,54,35,43,35,35,29,43];2025-11-08;Image pack, Sitelinks, Video, People also ask, Related searches, AI overview;informational;Organic
sunstone benefits;35;35;70;24;0.00;https://rezagemcollection.ca/blogs/news/sunstone-crystal-healing-properties-benefits-and-meaning;0;0;0.00;0.02;1740000;[64,78,78,50,50,50,50,35,35,50,50,50];2025-09-12;Featured snippet, People also ask, Related searches;informational;Organic
freshwater pearl;47;47;260;15;1.10;https://rezagemcollection.ca/collections/freshwater-pearls;0;0;0.00;1;20500000;[24,30,16,13,20,20,36,5,8,8,16,20];2025-09-04;Image pack, Video, Image, Popular products, Related searches;commercial, informational;Organic
freshwater pearl;74;74;260;15;1.10;https://rezagemcollection.ca/blogs/news/freshwater-pearl-beads;0;0;0.00;1;20500000;[24,30,16,13,20,20,36,5,8,8,16,20];2025-09-04;Image pack, Video, Image, Popular products, Related searches;commercial, informational;Organic
labradorite healing powers;18;18;320;18;0.34;https://rezagemcollection.ca/blogs/news/labradorite-gemstone-meaning;0;0;0.00;0.07;1320000;[66,66,66,66,54,81,81,66,54,81,54,54];2025-09-03;Image pack, Sitelinks, People also ask, Related searches, Discussions and forums, AI overview;informational;Organic
real gems;52;52;70;42;0.55;https://rezagemcollection.ca/;0;0;0.00;0.89;448000000;[45,63,45,45,63,63,63,63,63,81,81,18];2025-09-09;Local pack, Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches;commercial;Organic
gem store;24;24;480;41;0.60;https://rezagemcollection.ca/;0;0;0.00;0.38;10;[59,59,48,59,48,39,48,48,48,48,48,48];2025-11-14;Local pack, Image pack, Sitelinks, Video, Image, Related searches;commercial;Organic
crystals dark blue;11;11;70;11;0.66;https://rezagemcollection.ca/collections/blue-gemstones;0;0;0.00;0.27;10;[0,64,50,64,50,50,64,64,50,64,50,0];2025-11-09;Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches;commercial, informational;Organic
